time_hours,queue_total,queue_till,queue_shots,queue_milk
0.0,0,0,0,0
0.0050031269543464665,1,1,0,0
0.010006253908692933,2,1,1,0
0.0150093808630394,2,1,0,1
0.020012507817385866,2,1,0,1
0.025015634771732333,1,0,1,0
0.0300187617260788,0,0,0,0
0.035021888680425266,0,0,0,0
0.04002501563477173,0,0,0,0
0.0450281425891182,0,0,0,0
0.050031269543464665,0,0,0,0
0.05503439649781113,0,0,0,0
0.0600375234521576,0,0,0,0
0.06504065040650406,2,2,0,0
0.07004377736085053,2,2,0,0
0.075046904315197,3,2,1,0
0.08005003126954346,2,1,1,0
0.08505315822388992,2,1,1,0
0.0900562851782364,2,0,1,1
0.09505941213258287,2,1,1,0
0.10006253908692933,2,2,0,0
0.10506566604127579,2,1,1,0
0.11006879299562226,1,1,0,0
0.11507191994996874,1,0,1,0
0.1200750469043152,0,0,0,0
0.12507817385866166,0,0,0,0
0.13008130081300812,0,0,0,0
0.1350844277673546,0,0,0,0
0.14008755472170106,0,0,0,0
0.14509068167604752,0,0,0,0
0.150093808630394,0,0,0,0
0.15509693558474047,0,0,0,0
0.16010006253908693,0,0,0,0
0.1651031894934334,0,0,0,0
0.17010631644777985,1,1,0,0
0.17510944340212634,2,1,1,0
0.1801125703564728,1,1,0,0
0.18511569731081925,2,2,0,0
0.19011882426516574,2,1,1,0
0.1951219512195122,3,2,1,0
0.20012507817385866,3,2,1,0
0.20512820512820512,2,2,0,0
0.21013133208255158,2,1,1,0
0.21513445903689807,1,1,0,0
0.22013758599124453,1,0,1,0
0.225140712945591,1,1,0,0
0.23014383989993747,1,0,1,0
0.23514696685428393,0,0,0,0
0.2401500938086304,0,0,0,0
0.24515322076297685,1,1,0,0
0.2501563477173233,1,0,1,0
0.2551594746716698,0,0,0,0
0.26016260162601623,1,1,0,0
0.26516572858036275,1,0,1,0
0.2701688555347092,2,1,0,1
0.27517198248905567,1,0,1,0
0.2801751094434021,0,0,0,0
0.2851782363977486,0,0,0,0
